title,price,reviews,url,sales
https://produto.mercadolivre.com.br/MLB-844723415-tenis-nike-shox-junior-masculino-importado-frete-gratis-_JM,726,160,96, Tenis Nike Shox Junior Masculino Importado Frete Gratis 
https://produto.mercadolivre.com.br/MLB-906034315-tnis-mizuno-wave-prophecy-2-masculino-original-promoco--_JM,321,148,25, Tênis Mizuno Wave Prophecy 2 Masculino Original Promoção ! 
https://produto.mercadolivre.com.br/MLB-927328086-tenis-masculino-polo-iat-promoco-2017-_JM,9,77,, Tenis Masculino Polo Iat Promoção 2017 
https://produto.mercadolivre.com.br/MLB-860189580-tnis-masculino-mizuno-prophecy-2-original-mega-oferta--_JM,1031,148,74, Tênis Masculino Mizuno Prophecy 2 Original - Mega Oferta ! 
https://produto.mercadolivre.com.br/MLB-922862486-tnis-adidas-yezzy-boost-masculino-feminino-sapatnis--_JM,57,45,, Tênis adidas Yezzy Boost Masculino Feminino Sapatênis ! 
https://produto.mercadolivre.com.br/MLB-921039910-tnis-asics-gel-sendai-caminhada-masculino-feminino-original-_JM,724,74,24, Tênis Asics Gel Sendai Caminhada Masculino Feminino Original 
https://produto.mercadolivre.com.br/MLB-902648723-tnis-mizuno-wave-prophecy-2-original-masculino-promoco--_JM,259,148,22, Tênis Mizuno Wave Prophecy 2 Original Masculino Promoção ! 
https://produto.mercadolivre.com.br/MLB-887070071-tnis-masculino-feminino-nike-roshe-barato-_JM,1003,70,56, Tênis Masculino Feminino Nike Roshe Barato 
https://produto.mercadolivre.com.br/MLB-909041073-kit-2-sapatnis-tnis-polo-joy-masculino-frete-gratis-_JM,227,150,11, Kit 2 Sapatênis Tênis Polo Joy Masculino Frete Grátis 
price,reviews,sales,url,title
50,44,1092,https://produto.mercadolivre.com.br/MLB-877268023-tnis-sapatnis-masculino-adidas-yeezy-bost-yzy-2017-_JM, Tênis Sapatênis Masculino adidas Yeezy Bost Yzy 2017 
57,62,1994,https://produto.mercadolivre.com.br/MLB-882572633-tenis-nike-air-max-na-caixa-gel-bolha-foto-original-masculin-_JM, Tenis Nike Air Max Na Caixa Gel Bolha Foto Original Masculin 
60,56,1511,https://produto.mercadolivre.com.br/MLB-853194945-tnis-nike-confortavel-masculino-mega-barato-70-off-_JM, Tênis Nike Confortavel Masculino Mega Barato 70% Off 
90,20,1015,https://produto.mercadolivre.com.br/MLB-912752395-sapatenis-masculino-tenis-adidas-em-couro-lancamento-2017-_JM, Sapatenis Masculino Tenis adidas Em Couro Lançamento 2017 
80,254,2350,https://produto.mercadolivre.com.br/MLB-838144457-tnis-asics-gel-sendai-original-masculino-40-desconto-_JM, Tênis Asics Gel Sendai Original Masculino 40% Desconto 
100,419,4288,https://produto.mercadolivre.com.br/MLB-866979238-kit-c-01-tenis-sapatenis-polo-joy-masculino-c-01-chinelo-_JM, Kit C/ 01 Tenis Sapatenis Polo Joy Masculino C/ 01 Chinelo 
80,201,2229,https://produto.mercadolivre.com.br/MLB-849936413-novo-nike-masculino-air-max-gel-17-academia-shox-aproveite-_JM, Novo Nike Masculino Air Max Gel #17 Academia Shox Aproveite 
